Set,Set Theme,Within Set #,Frequency Rank,Original #,Japanese,Reading,Romaji Pronunciation,Meaning,Part of Speech,Verb Class,POS Subtype,Category,Bucket,Grammar Role / Notes,Frequency Count,Source Rank,Frequency % of Source,Frequency Source,Match Method,Lookup Term,POS / Fallback Note,wordfreq Zipf,Learned?,Notes,Vocab List Source,Classification Source,Why this set
1,Survival + Identity,1,27,1,ああ,ああ,aa,"Ah!, Oh!",Interjection,,Interjection,Greetings/Responses,Core open list,Ah! / Oh!,73298,55,0.21505515,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,ああ,adv,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual learner override from vocabulary meaning,Early conversation anchor
1,Survival + Identity,2,278,45,いいえ,いいえ,iie,"no, not at all",Interjection,,Interjection,Greetings/Responses,Core open list,Greeting/filler/response word,5013,798,0.01470806,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,いいえ,int,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: int,Early conversation anchor
1,Survival + Identity,3,99,448,どうぞ,どうぞ,douzo,"please, kindly, by all means",Adverb,,Adverb,Greetings/Responses,Core open list,Modifies verbs/adjectives/sentences,20504,202,0.0601584,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,どうぞ,adv,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: adv,Early conversation anchor
1,Survival + Identity,4,150,450,どうも,どうも,doumo,Thank you; somehow; no matter how hard one may try,Interjection,,Interjection,Greetings/Responses,Core open list,Greeting/filler/response word,12696,340,0.03724986,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,どうも,int,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: int,Early conversation anchor
1,Survival + Identity,5,5,519,はい,はい,hai,yes,Interjection,,Interjection,Greetings/Responses,Core open list,Greeting/filler/response word,144022,20,0.42255822,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,はい,int,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: int,Early conversation anchor
1,Survival + Identity,6,116,749,ありがとうございます,ありがとうございます,arigatougozaimasu,Thank you very much,Expression,,Fixed expression,Greetings/Responses,Supplemental N5 buffer,Phrase-like expression,17751,237,0.05208115,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,ありがとうございます,exp,,,,MLC 802-word list / common N5 buffer,Subtitle corpus POS tags: exp,Early conversation anchor
1,Survival + Identity,7,127,750,いえ,いえ,ie,No,Interjection,,Interjection,Greetings/Responses,Supplemental N5 buffer,Greeting/filler/response word,15109,271,0.04432956,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,いえ,int,,,,MLC 802-word list / common N5 buffer,Subtitle corpus POS tags: int,Early conversation anchor
1,Survival + Identity,8,108,759,お願いします,おねがいします,onegaishimasu,Please,Expression,,Fixed expression,Greetings/Responses,Supplemental N5 buffer,Phrase-like expression,19075,220,0.05596574,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,お願いします,exp,,,,MLC 802-word list / common N5 buffer,Subtitle corpus POS tags: exp,Early conversation anchor
1,Survival + Identity,9,216,760,おはようございます,おはようございます,ohayougozaimasu,Good morning,Interjection,,Interjection,Greetings/Responses,Supplemental N5 buffer,Greeting/filler/response word,7753,554,0.02274718,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,おはようございます,int,,,,MLC 802-word list / common N5 buffer,Subtitle corpus POS tags: int,Early conversation anchor
1,Survival + Identity,10,444,765,ごめんなさい,ごめんなさい,gomennasai,Sorry,Expression,,Fixed phrase,Greetings/Responses,Supplemental N5 buffer,Apology phrase,,,0.00575,wordfreq 3.1.1 Japanese best wordlist,wordfreq fallback: Japanese form,ごめんなさい,Fallback: no subtitle-corpus match for selected candidates,4.76,,,MLC 802-word list / common N5 buffer,Manual fallback from word/meaning,Early conversation anchor
1,Survival + Identity,11,97,766,こんにちは,こんにちは,konnichiwa,Hello; good afternoon,Interjection,,Interjection,Greetings/Responses,Supplemental N5 buffer,Greeting/filler/response word,20974,196,0.06153738,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,こんにちは,int,,,,MLC 802-word list / common N5 buffer,Subtitle corpus POS tags: int,Early conversation anchor
1,Survival + Identity,12,402,767,こんばんは,こんばんは,konbanwa,Good evening,Expression,,Fixed expression,Greetings/Responses,Supplemental N5 buffer,Phrase-like expression,2454,1530,0.0072,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,こんばんは,exp,,,,MLC 802-word list / common N5 buffer,Subtitle corpus POS tags: exp,Early conversation anchor
1,Survival + Identity,13,522,768,さようなら,さようなら,sayounara,Goodbye,Interjection,,Interjection,Greetings/Responses,Supplemental N5 buffer,Greeting/filler/response word,1266,2639,0.00371442,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,さようなら,int,,,,MLC 802-word list / common N5 buffer,Subtitle corpus POS tags: int,Early conversation anchor
1,Survival + Identity,14,800,770,失礼します,しつれいします,shitsureishimasu,Excuse me,Noun,,Common noun,Greetings/Responses,Supplemental N5 buffer,Noun-like word,1,96727,2.93e-06,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,失礼します,n,,,,MLC 802-word list / common N5 buffer,Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,15,466,771,すみません,すみません,sumimasen,Excuse me; sorry,Expression,,Fixed phrase,Greetings/Responses,Supplemental N5 buffer,Apology/excuse phrase,,,0.00501,wordfreq 3.1.1 Japanese best wordlist,wordfreq fallback: Japanese form,すみません,Fallback: no subtitle-corpus match for selected candidates,4.7,,,MLC 802-word list / common N5 buffer,Manual fallback from word/meaning,Early conversation anchor
1,Survival + Identity,16,672,780,初めまして,はじめまして,hajimemashite,Nice to meet you,Expression,,Fixed phrase,Greetings/Responses,Supplemental N5 buffer,Greeting phrase,,,0.0011,wordfreq 3.1.1 Japanese best wordlist,wordfreq fallback: Japanese form,初めまして,Fallback: no subtitle-corpus match for selected candidates,4.04,,,MLC 802-word list / common N5 buffer,Manual fallback from word/meaning,Early conversation anchor
1,Survival + Identity,17,217,781,よろしく,よろしく,yoroshiku,Please treat me well; regards,Expression,,Fixed expression,Greetings/Responses,Supplemental N5 buffer,Set phrase used in greetings/requests,7738,557,0.02270317,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,よろしく,"exp,adv",,,,MLC 802-word list / common N5 buffer,Manual learner override from N5 usage,Early conversation anchor
1,Survival + Identity,18,300,29,兄,あに,ani,(my) older brother (humble),Noun,,Common noun,People/Family,Core open list,Noun-like word,4533,884,0.01329975,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,兄,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,19,383,30,姉,あね,ane,(my) older sister (humble),Noun,,Common noun,People/Family,Core open list,Noun-like word,2715,1399,0.00796577,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,姉,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,20,343,68,妹,いもうと,imouto,younger sister (humble),Noun,,Common noun,People/Family,Core open list,Noun-like word,3594,1101,0.01054474,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,妹,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,21,101,102,お母さん,おかあさん,okaasan,mother (formal),Noun,,Common noun,People/Family,Core open list,Noun-like word,20157,204,0.05914031,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,お母さん,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,22,105,117,お父さん,おとうさん,otousan,father (formal),Noun,,Common noun,People/Family,Core open list,Noun-like word,19364,217,0.05681366,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,お父さん,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,23,378,118,弟,おとうと,otouto,younger brother,Noun,,Common noun,People/Family,Core open list,Noun-like word,2819,1359,0.0082709,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,弟,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,24,55,119,男,おとこ,otoko,"man, male",Noun,,Common noun,People/Family,Core open list,Noun-like word,33996,120,0.09974371,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,男,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,25,428,120,男の子,おとこのこ,otokonoko,boy,Noun,,Common noun,People/Family,Core open list,Noun-like word,2089,1764,0.00612909,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,男の子,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,26,85,140,女,おんな,onna,"woman, female",Noun,,Common noun,People/Family,Core open list,Noun-like word,24493,170,0.07186207,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,女,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,27,309,141,女の子,おんなのこ,onnanoko,girl,Noun,,Common noun,People/Family,Core open list,Noun-like word,4346,916,0.01275109,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,女の子,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,28,453,156,学生,がくせい,gakusei,student,Noun,,Common noun,People/Family,Core open list,Noun-like word,1818,1985,0.00533398,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,学生,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,29,145,165,家族,かぞく,kazoku,"family, members of a family",Noun,,no-adjective noun,People/Family,Core open list,Noun-like word,12914,331,0.03788947,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,家族,"n,adj-no",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: n,adj-no",Early conversation anchor
1,Survival + Identity,30,124,263,子供,こども,kodomo,child(ren),Noun,,Common noun,People/Family,Core open list,Noun-like word,15344,264,0.04501905,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,子供,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,31,33,355,先生,せんせい,sensei,"teacher, professor; master; doctor",Noun,,Common noun,People/Family,Core open list,Noun-like word,61878,71,0.18154905,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,先生,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,32,195,406,父,ちち,chichi,(my) father,Noun,,Common noun,People/Family,Core open list,Noun-like word,8698,495,0.02551979,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,父,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,33,165,469,友達,ともだち,tomodachi,friend,Noun,,Common noun,People/Family,Core open list,Noun-like word,11123,389,0.0326347,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,友達,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,34,67,542,母,はは,haha,(my) mother,Noun,,Common noun,People/Family,Core open list,Noun-like word,31187,137,0.09150215,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,母,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,35,14,564,人,ひと,hito,"man, person",Noun,,Common noun,People/Family,Core open list,Noun-like word,105734,32,0.31022184,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: reading form,ひと,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,Early conversation anchor
1,Survival + Identity,36,418,589,古い,ふるい,furui,"old (in reference to objects, not people), aged, ancient",Adjective,,i-adjective,People/Family,Core open list,Conjugates directly; dictionary form ends in い,2222,1665,0.00651931,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,古い,adj-i,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: adj-i,Early conversation anchor
1,Survival + Identity,37,434,3,青,あお,ao,blue,Noun,,Color noun,Misc/Bridge,Core open list,Color term,,,0.00603,wordfreq 3.1.1 Japanese best wordlist,wordfreq fallback: Japanese form,青,Fallback: no subtitle-corpus match for selected candidates,4.78,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual fallback from word/meaning,Early conversation anchor
1,Survival + Identity,38,394,4,青い,あおい,aoi,blue,Adjective,,i-adjective,Misc/Bridge,Core open list,Conjugates directly; dictionary form ends in い,2576,1468,0.00755794,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,青い,adj-i,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: adj-i,Early conversation anchor
1,Survival + Identity,39,393,5,赤,あか,aka,red,Noun,,Color noun,Misc/Bridge,Core open list,Color term,,,0.00759,wordfreq 3.1.1 Japanese best wordlist,wordfreq fallback: Japanese form,赤,Fallback: no subtitle-corpus match for selected candidates,4.88,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual fallback from word/meaning,Early conversation anchor
1,Survival + Identity,40,352,6,赤い,あかい,akai,red,Adjective,,i-adjective,Misc/Bridge,Core open list,Conjugates directly; dictionary form ends in い,3385,1146,0.00993154,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,赤い,adj-i,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: adj-i,Early conversation anchor
